旧值	新值	频率
标注事件名+影响	标注事件	2
标注事件名+时间	标注事件	1
标注事件名和对市场的冲击	标注事件	1
标注事件名和影响	标注事件	1
标注事件影响	标注事件	2
标注事件数	标注事件	2
标注事件数和损失额	标注事件	1
标注事件类型	标注事件	4
标注事件类型+影响	标注因素金额	1
标注事件类型和频率	标注事件	1
标注事件节点	标注事件	1
标注事件触发的搜索峰值	标注事件	1
标注事故率	标注关键信息	1
标注事故率变化	标注关键信息	1
标注亏损/盈利区	标注关键信息	1
标注云业务盈利拐点	标注趋势特征	1
标注云厚和扭转	标注关键信息	1
标注云支出和优化率	标注关键信息	1
标注互作强度和距离	标注关键信息	1
标注互作标志物和距离	标注关键信息	1
标注互作类型	标注关键信息	1
标注互作评分和通路	标注评分	1
标注互作距离和机制	标注关键信息	1
标注互作距离阈值	标注关键信息	1
标注互作距离阈值和富集	标注关键信息	1
标注互动事件	标注事件	1
标注互动量	标注关键信息	1
标注互操作差异	标注差异	1
标注亚型和临床相关性	标注评分	1
标注亚型和功能标记	标注关键信息	1
标注亚型标记和转换因子	标注关键信息	1
标注亚组交互检验	标注关键信息	1
标注亚组名和HR值	标注关键信息	1
标注亚组和交互	标注关键信息	1
标注亚组差异	标注差异	1
标注亚群名	标注关键信息	1
标注亚群名称和比例	标注占比	1
标注亚群标记和功能变化	标注关键信息	1
标注亚群标记和机制	标注关键信息	1
标注交互	标注数值	1
标注交互作用检验	标注关键信息	1
标注交互效应	标注关键信息	1
标注交互类型	标注关键信息	1
标注交互评分和靶基因	标注评分	1
标注交付高峰	标注关键信息	1
标注交割压力	标注关键信息	1
标注交叉含义	标注关键信息	1
标注交叉点	标注趋势特征	2
标注交叉点(线上超过线下)	标注趋势特征	1
标注交叉点和关键产品事件	标注事件	1
标注交叉点和政策时点	标注事件	1
标注交叉点（回本月）和净收益	标注趋势特征	1
标注交易亿	标注数值	1
标注交易所名	标注数值	1
标注交易数和	标注数值	1
标注交易数和金额	标注数值	2
标注交易数量	标注数值	2
标注交易背景	标注数值	1
标注交易量	标注数值	3
标注交易量和碳价	标注数值	1
标注交易金额和数量	标注数值	1
标注交通方式占比	标注占比	1
标注交集	标注数值	2
标注交集基因列表	标注关键信息	1
标注产业大会节点	标注阶段	1
标注产业影响	标注关键信息	1
标注产业政策	标注事件	1
标注产业转型	标注关键信息	1
标注产业驱动	标注驱动因素	1
标注产值亿	标注数值	2
标注产值和增速	标注增长率	3
标注产出+潜力	标注数值	1
标注产出倍数	标注效率	1
标注产品	标注数值	1
标注产品优化方向	标注关键信息	1
标注产品创新节点	标注阶段	1
标注产品发布和重大签约	标注关键信息	1
标注产品发布时点和收入贡献	标注关键信息	1
标注产品发布节点	标注阶段	1
标注产品名和弹性	标注实体名	1
标注产品更新事件和异常波动	标注事件	1
标注产品特征	标注关键信息	1
标注产品表现	标注关键信息	1
标注产品规模和收益率	标注效率	1
标注产地	标注数值	1
标注产生菌和	标注关键信息	1
标注产能上限	标注关键信息	1
标注产能利用率	标注关键信息	1
标注产能利用率和趋势	标注趋势特征	1
标注产能和企业	标注关键信息	1
标注产能数据	标注关键信息	1
标注产能爬坡和新车型发布	标注关键信息	1
标注产能瓶颈	标注关键信息	1
标注产能目标	标注关键信息	1
标注产量	标注数值	1
标注产量+增速	标注规模增速	1
标注产量占比	标注占比	2
标注产量和%	标注占比	1
标注产量和自给率	标注数值	1
标注产量数值	标注数值	1
标注亲和力和突变数	标注趋势特征	1
标注人力资本杠杆	标注关键信息	1
标注人口暴露量	标注数值	2
标注人口红利窗口期	标注数值	1
标注人口趋势	标注趋势特征	1
标注人均奖牌率	标注关键信息	1
标注人均投资	标注关键信息	1
标注人均支出总额	标注关键信息	1
标注人工驾驶基线	标注关键信息	1
标注人才密度	标注趋势特征	1
标注人才流失风险	标注风险	1
标注人才缺口	标注差异	1
标注人数	标注数值	2
标注人数和UNHCR目标	标注数值	1
标注人数和准备就绪时间	标注数值	1
标注人数和消费	标注数值	1
标注人民币份额上升	标注金额占比	1
标注人类基准线	标注参考线	1
标注人类基准线和超越点	标注参考线	1
标注人类影响	标注关键信息	1
标注人群分类	标注象限策略	1
标注人群占比	标注占比	1
标注人道主义	标注关键信息	1
标注人道危机等级	标注事件	1
标注人道需求	标注关键信息	2
标注亿人次	标注关键信息	1
标注亿人次和亿	标注关键信息	1
标注亿元	标注数值	5
标注亿元和篇数	标注关键信息	1
标注亿吨	标注数值	1
标注亿条和亿	标注关键信息	1
标注亿立方米	标注关键信息	1
标注亿笔	标注数值	1
标注亿笔和亿₹	标注关键信息	1
标注亿美元	标注关键信息	2
标注仓库数	标注关键信息	1
标注代差幅度	标注关键信息	1
标注代谢物和消耗速率	标注关键信息	1
标注代谢物和酶活性	标注关键信息	1
标注代谢物浓度和菌种来源	标注关键信息	1
标注代谢物类型和浓度	标注关键信息	1
标注代谢通路和功能	标注关键信息	1
标注代谢通路和基因	标注关键信息	1
标注代谢通路和活性	标注关键信息	1
标注代谢通路和流量变化	标注数值	1
标注代谢通路和状态	标注关键信息	1
标注代际变化	标注关键信息	2
标注代际差异	标注差异	2
标注代际差距最大项	标注差异	1
标注价值$	标注效率	4
标注价值乘数	标注效率	1
标注价值创新	标注效率	1
标注价值发现区	标注驱动因素	1
标注价值和复杂度评分	标注评分	1
标注价值层级	标注阶段	1
标注价值影响	标注效率	3
标注价值毁灭区	标注效率	1
标注价值环节	标注阶段	1
标注价值目的地	标注效率	1
标注价值评分和债务	标注评分	1
标注价值评分和采用率	标注占比	1
标注价值量	标注效率	1
标注价值量和渗透率	标注占比	2
标注价值链变化	标注效率	1
标注价值陷阱	标注效率	1
标注价值驱动	标注驱动因素	1
标注价差	标注数值	1
标注价差$	标注数值	2
标注价差趋势	标注趋势特征	1
标注价格	标注数值	2
标注价格+YoY	标注增长率	1
标注价格优化幅度	标注关键信息	1
标注价格分化	标注关键信息	1
标注价格和可及指数	标注评分	1
标注价格和天数	标注数值	1
标注价格弹性	标注关键信息	2
标注价格极值	标注关键信息	1
标注价格波动峰值和原因	标注驱动因素	1
标注价格触发事件	标注事件	1
标注价格贡献%	标注金额占比	1
标注价格驱动	标注驱动因素	2
标注任务名	标注数值	2
标注任务名和成就	标注数值	1
标注任务层级	标注阶段	1
标注任务成果	标注数值	1
标注任务状态	标注数值	1
标注任期月数	标注数值	1
标注份额	标注金额占比	3
标注份额%	标注金额占比	1
标注份额+增速	标注规模增速	1
标注份额交叉点和反超事件	标注金额占比	1
标注份额变化	标注金额占比	7
标注份额变化和原因	标注金额占比	1
标注份额变化和驱动	标注金额占比	1
标注份额变化幅度	标注金额占比	1
标注份额和交付量	标注金额占比	1
标注份额和交易量	标注金额占比	1
标注份额和价格优势	标注金额占比	1
标注份额和准确率	标注金额占比	1
标注份额和增速	标注规模增速	4
标注份额和渠道	标注金额占比	1
标注份额和营收	标注金额占比	1
标注份额和规模	标注金额占比	1
标注份额和评分	标注金额占比	1
标注份额拐点	标注金额占比	2
标注份额百分比	标注金额占比	1
标注仿制药上市时间	标注关键信息	1
标注仿制药冲击	标注关键信息	1
标注仿制药比例%	标注占比	1
标注仿制药风险	标注风险	1
标注企业名	标注实体名	3
标注企业和新评级	标注评分	1
标注企业数	标注关键信息	1
标注企业数和交易	标注数值	1
标注企业数和产值	标注数值	1
标注企业数和产能	标注关键信息	1
标注企业数和亿	标注关键信息	1
标注企业数和地区	标注关键信息	1
标注企业数量	标注数值	1
标注企业行业	标注关键信息	1
标注优先关注	标注关键信息	1
标注优先发展象限	标注象限策略	1
标注优先处理	标注关键信息	1
标注优先威胁	标注关键信息	1
标注优先实施象限	标注象限策略	1
标注优先投资象限	标注象限策略	1
标注优先指数	标注评分	1
标注优先改进区	标注驱动因素	1
标注优先治理	标注关键信息	1
标注优先级	标注驱动因素	1
标注优先级分区	标注驱动因素	1
标注优先级指数	标注评分	1
标注优先级排序	标注驱动因素	1
标注优先级评分和预算	标注评分	1
标注优先行动	标注关键信息	1
标注优先议题	标注关键信息	1
标注优先领域	标注关键信息	1
标注优劣维度	标注维度评分	1
标注优势	标注数值	1
标注优势/短板	标注差异	1
标注优势劣势	标注关键信息	1
标注优势方	标注关键信息	1
标注优势短板	标注差异	1
标注优化优先级	标注驱动因素	1
标注优化建议	标注驱动因素	4
标注优化效果	标注关键信息	1
标注优化方向	标注关键信息	3
标注优化点	标注关键信息	2
标注优化版本	标注关键信息	1
标注优化空间	标注效率	6
标注优选供应商区	标注实体名	1
标注传导	标注数值	1
标注传播指数和应对资源	标注评分	1
标注传播模式	标注关键信息	1
标注传播深度	标注关键信息	1
标注传播渠道	标注关键信息	1
标注传播速度	标注关键信息	1
标注传播速率	标注关键信息	1
标注传球模式	标注数值	1
标注传球次数	标注数值	2
标注传统办公室基线	标注关键信息	1
标注传统衰退	标注关键信息	1
标注传统金融对比	标注关键信息	1
标注传递率和置信区间	标注关键信息	1
标注传递率和阻断效率	标注效率	1
标注传递频率和安全性	标注风险	1
标注伦理差距	标注差异	1
标注估值	标注数值	1
标注估值+YoY	标注增长率	1
标注估值+年龄	标注关键信息	1
标注估值倍数	标注效率	1
标注估值变化	标注关键信息	1
标注估值和行业	标注关键信息	1
标注估值泡沫	标注关键信息	1
标注估值泡沫信号	标注关键信息	1
标注估值翻倍	标注关键信息	1
标注估值范围和不确定性	标注关键信息	1
标注估值驱动	标注驱动因素	1
标注位点	标注数值	1
标注位点和基因	标注关键信息	1
标注位点和序列背景	标注关键信息	1
标注位置+IRR	标注关键信息	1
标注位置+原因	标注驱动因素	1
标注位置+回报率	标注关键信息	1
标注位置+风险	标注风险	1
标注位置差异	标注差异	1
标注位置模板	标注关键信息	2
标注位置适配	标注关键信息	1
标注低价区	标注关键信息	1
标注低谷高峰	标注关键信息	1
标注住房危机	标注事件	1
标注体重和A1C变化	标注关键信息	1
标注体验和效率评分	标注评分	1
标注体验差距	标注差异	1
标注体验影响	标注关键信息	1
标注体验指数	标注评分	2
标注体验评分和创新度	标注评分	1
标注体验转折	标注关键信息	1
标注作品名	标注关键信息	1
标注作者实际所得	标注关键信息	1
标注使用%	标注占比	1
标注使用占比	标注占比	1
标注使用次数	标注关键信息	1
标注使用率	标注占比	2
标注使用率%	标注占比	2
标注使用率和CSAT	标注占比	1
标注供应商	标注实体名	1
标注供应商名	标注实体名	1
标注供应商名和年账单额	标注实体名	1
标注供应商名和策略	标注实体名	1
标注供应商集中度	标注实体名	1
标注供应链中断事件	标注事件	1
标注供应链事件	标注事件	1
标注供应链效率	标注效率	1
标注供应链重构	标注关键信息	1
标注供给/需求量和缺口	标注差异	1
标注供给事件	标注事件	1
标注供给瓶颈	标注关键信息	1
标注供给缺口	标注差异	1
标注供需事件	标注事件	1
标注供需失衡	标注关键信息	1
标注供需比	标注关键信息	1
标注供需缺口	标注差异	2
标注供需量	标注关键信息	1
标注供需驱动	标注驱动因素	1
标注依从%和效果	标注占比	1
标注依从率提升	标注关键信息	1
标注依赖关系	标注关键信息	1
标注依赖度	标注关键信息	1
标注俄罗斯增长	标注关键信息	1
标注保供节点	标注阶段	1
标注保守和特异基因	标注关键信息	1
标注保守性和阶段特异基因	标注阶段	1
标注保护差距	标注差异	1
标注保护成果	标注关键信息	1
标注保护措施	标注关键信息	1
标注保护政策效果	标注事件	1
标注保护率	标注关键信息	1
标注保护目标	标注关键信息	1
标注保护等级	标注评分	1
标注保护缺口	标注差异	1
标注保护面积和	标注关键信息	1
标注保费总额	标注数值	1
标注保险渗透率	标注占比	1
标注保险覆盖	标注关键信息	1
标注信任/不信任分界线	标注关键信息	1
标注信任分	标注关键信息	1
标注信任拐点	标注趋势特征	1
标注信号	标注数值	1
标注信号强度	标注关键信息	1
标注信号持久性	标注关键信息	1
标注信号浓度和通路活性	标注关键信息	1
标注信号特征	标注关键信息	1
标注信心%	标注占比	1
标注信心低谷和触发事件	标注事件	1
标注信心分化	标注关键信息	1
标注信心变化	标注关键信息	1
标注信心拐点	标注趋势特征	1
标注信心指数	标注评分	4
标注信心驱动	标注驱动因素	1
标注信心驱动因素	标注驱动因素	1
标注信息化指数	标注评分	1
标注信用周期	标注阶段	1
标注信用消耗	标注关键信息	1
标注信贷周期	标注阶段	1
标注信贷拐点	标注趋势特征	1
标注修复优先级	标注驱动因素	1
标注倍增时间	标注关键信息	1
标注倍数	标注效率	6
标注倍数和首都名	标注效率	1
标注倍数差异	标注差异	1
标注倒挂区域和关键期限	标注关键信息	1
标注候选人名和选举年份	标注关键信息	1
标注候选药物	标注关键信息	1
标注债务上限调整和经济衰退	标注关键信息	1
标注债务率	标注关键信息	1
标注债务类型	标注关键信息	1
标注债务评分和创新比	标注评分	1
标注债务风险	标注风险	1
标注倾角趋势	标注趋势特征	1
标注假设	标注数值	2
标注偏倚	标注数值	1
标注偏倚类型	标注关键信息	1
标注偏倚评分和调控因子	标注评分	1
标注偏好度和变化	标注关键信息	1
标注偏好特征	标注关键信息	1
标注偏差	标注差异	1
标注偏差%	标注差异	1
标注偏差px	标注差异	1
标注偏差区域	标注差异	1
标注偏差原因	标注差异	2
标注偏差名和典型案例	标注差异	1
标注偏差方向	标注差异	1
标注偏差率	标注差异	1
标注偏差百分比	标注差异	1
标注偏差量	标注差异	1
标注偏态	标注数值	1
标注偏态和峰度	标注关键信息	1
标注偏态特征	标注关键信息	1
标注偏离	标注差异	3
标注偏离%	标注差异	1
标注偏离原因	标注差异	1
标注偏离基准	标注差异	1
标注偏离幅度	标注差异	2
标注偏离方向+幅度	标注差异	1
标注偏离程度和	标注差异	1
标注偏移	标注数值	1
标注偏移方向+原因	标注驱动因素	1
标注偏见方向	标注关键信息	1
标注停机窗口	标注关键信息	1
标注健康中国目标	标注关键信息	1
标注健康分	标注评分	2
标注健康区间	标注关键信息	1
标注健康基准	标注关键信息	1
标注健康指数	标注评分	1
标注健康故事	标注关键信息	1
标注健康比3x	标注关键信息	1
标注健康比3x线	标注关键信息	1
标注健康状态	标注关键信息	1
标注健康等级	标注评分	1
标注健康趋势	标注趋势特征	2
标注健康阈值线	标注关键信息	1
标注健身趋势	标注趋势特征	1
标注储量	标注数值	1
标注储量+占比	标注占比	1
标注储量占比	标注占比	1
标注储量和产量占比	标注占比	1
标注元件类型和靶基因	标注关键信息	1
标注充电时间缩短	标注关键信息	1
标注充足性指标	标注关键信息	1
标注充足率数值	标注数值	1
标注克数	标注数值	1
标注克隆关系和	标注关键信息	1
标注克隆大小和多样性指数	标注评分	1
标注克隆大小和抗体类别	标注关键信息	1
标注克隆大小和抗原特异	标注关键信息	1
标注克隆大小和特异性	标注关键信息	1
标注克隆大小和突变	标注趋势特征	1
标注克隆标记和	标注关键信息	1
标注克隆标记和驱动突变	标注驱动因素	1
标注克隆突变特征	标注趋势特征	1
标注克隆频率和驱动突变	标注驱动因素	1
标注免疫应答和蛋白表达	标注关键信息	1
标注免疫指标下降幅度	标注增长率	1
标注免疫指标和蛋白表达	标注关键信息	1
标注免疫表型和预后	标注关键信息	1
标注免疫识别率和递送效率	标注效率	1
标注免税和电商增长	标注关键信息	1
标注免费开放政策	标注事件	1
标注党派分歧	标注差异	1
标注党派翻转	标注关键信息	1
标注入侵点	标注关键信息	1
标注入学率和缺口	标注差异	1
标注入组率	标注关键信息	1
标注入选年份和影响	标注关键信息	1
标注全国光谷对标	标注排名	1
标注全国占比	标注占比	1
标注全国均价	标注关键信息	1
标注全国城市排名	标注排名	2
标注全国基准	标注关键信息	1
标注全国对标	标注排名	5
标注全国平均	标注参考线	1
标注全国平均增速	标注参考线	1
标注全国平均失业率	标注参考线	1
标注全国平均线	标注参考线	2
标注全国影响力	标注评分	1
标注全国排名	标注排名	4
标注全国首创	标注关键信息	1
标注全市平均	标注关键信息	1
标注全民健康覆盖拐点	标注趋势特征	1
标注全满	标注数值	2
标注全球中位数	标注参考线	2
标注全球事件节点	标注事件	1
标注全球份额	标注金额占比	1
标注全球份额和增速	标注规模增速	2
标注全球化拐点	标注趋势特征	2
标注全球占比	标注占比	3
标注全球增长率中位数	标注参考线	1
标注全球平均	标注参考线	4
标注全球平均和区域差异	标注参考线	1
标注全球平均对比线	标注参考线	1
标注全球平均水平	标注参考线	1
标注全球平均渗透率	标注参考线	1
标注全球平均线	标注参考线	2
标注全球平均线和最佳实践国家	标注参考线	1
标注全球总量	标注关键信息	1
标注全球排名	标注排名	5
标注全球排名和最强/最弱维度	标注维度评分	2
标注全球标杆	标注排名	1
标注全球目标线和覆盖率	标注参考线	1
标注全球领先实践线	标注关键信息	1
标注全生命周期指标	标注阶段	1
标注全省增速	标注增长率	1
标注全省平均	标注关键信息	1
标注全省平均线	标注参考线	1
标注全省目标线	标注参考线	1
标注公众和专家两条线	标注关键信息	1
标注公司位置	标注关键信息	1
标注公司名	标注实体名	4
标注公告日+幅度	标注关键信息	1
标注公平基准线和偏差值	标注参考线	1
标注公平差距	标注差异	4
标注公平性指标	标注关键信息	1
标注公平指数	标注评分	1
标注公平阈值和偏差率	标注差异	1
标注公开市场回报	标注关键信息	1
标注公开市场回报对比线	标注关键信息	1
标注共识和分歧程度	标注差异	1
标注共识和极端预测	标注关键信息	1
标注共识差异	标注差异	1
标注关店数量	标注数值	1
标注关注%	标注占比	1
标注关注交易	标注数值	1
标注关注司法区	标注关键信息	1
标注关注国	标注关键信息	1
标注关注国家	标注实体名	1
标注关注模式	标注关键信息	1
标注关注百分比	标注占比	1
标注关注类占比	标注占比	1
标注关注项	标注关键信息	1
标注关系类型	标注关键信息	2
标注关联基因数	标注关键信息	1
标注关联度	标注关键信息	1
标注关联系数	标注关键信息	1
标注关键	标注数值	4
标注关键举措实施时点	标注关键信息	1
标注关键事件	标注事件	5
标注关键事件和情感转折点	标注事件	1
标注关键事件年	标注事件	1
标注关键事件影响	标注事件	2
标注关键产品发布	标注关键信息	1
标注关键产品发布和份额交叉	标注金额占比	1
标注关键产品发布时间	标注关键信息	1
标注关键任务	标注数值	1
标注关键传播节点和放大器	标注阶段	1
标注关键依赖	标注关键信息	1
标注关键分化因子	标注关键信息	1
标注关键区域	标注关键信息	1
标注关键发布节点	标注阶段	1
标注关键发现	标注驱动因素	1
标注关键命运决定因子	标注关键信息	1
标注关键命运决定基因	标注关键信息	1
标注关键商品	标注关键信息	1
标注关键因素	标注驱动因素	2
标注关键国家和依赖百分比	标注占比	1
标注关键基因-药物对	标注关键信息	1
标注关键基因名	标注关键信息	1
标注关键少数	标注关键信息	1
标注关键州名	标注关键信息	1
标注关键差异	标注差异	3
标注关键席位	标注关键信息	1
标注关键年份	标注关键信息	2
标注关键年份和政策节点	标注事件	1
标注关键序列基序	标注关键信息	1
标注关键拐点事件	标注事件	1
标注关键政策	标注事件	1
标注关键政策变化	标注事件	1
标注关键政策时点和事件	标注事件	1
标注关键政策时间点	标注事件	1
标注关键政策节点	标注事件	1
标注关键政策调整时点	标注事件	1
标注关键数据	标注关键信息	1
标注关键数据和里程碑	标注阶段	1
标注关键方法创新	标注关键信息	1
标注关键时刻	标注趋势特征	3
标注关键期限利率	标注关键信息	1
标注关键构象态	标注关键信息	1
标注关键模型发布	标注关键信息	1
标注关键模型突破点	标注关键信息	1
标注关键比赛	标注关键信息	1
标注关键比赛节点	标注阶段	1
标注关键水平	标注关键信息	1
标注关键法规	标注关键信息	1
标注关键波动期	标注关键信息	1
标注关键流失点	标注关键信息	1
标注关键漏洞	标注关键信息	1
标注关键灭绝事件和保护节点	标注事件	1
标注关键版本	标注关键信息	1
标注关键版本发布	标注关键信息	1
标注关键球员	标注关键信息	1
标注关键瓶颈环节	标注阶段	1
标注关键突变位点	标注趋势特征	2
标注关键突变路径	标注阶段	1
标注关键突破事件和融资额	标注事件	1
标注关键结论	标注驱动因素	1
标注关键翻转	标注关键信息	1
标注关键节点	标注阶段	8
标注关键触达时机	标注关键信息	1
标注关键词	标注关键信息	2
标注关键贸易走廊的量和增速	标注规模增速	1
标注关键转录因子	标注关键信息	1
标注关键转录因子和检查点	标注关键信息	1
标注关键转折年份	标注关键信息	1
标注关键转折点	标注关键信息	1
标注关键辩论/事件日	标注事件	1
标注关键辩论事件	标注事件	1
标注关键运营动作	标注关键信息	1
标注关键连接	标注关键信息	1
标注关键选举年和人口群体	标注数值	1
标注关键选区	标注关键信息	1
标注关键选区号和党派翻转	标注关键信息	1
标注关键酶和限速步骤	标注阶段	1
标注关键采纳事件和渗透率	标注事件	1
标注关键里程碑	标注阶段	3
标注关键重组动作	标注关键信息	1
标注关键阈值1.5°C	标注关键信息	1
标注关键面板	标注关键信息	1
标注关键驱动因素	标注驱动因素	2
标注兴趣系数	标注关键信息	1
标注兴趣驱动	标注驱动因素	1
标注其他技术占比	标注占比	1
标注典型交易名	标注数值	1
标注典型国家	标注实体名	2
标注典型案例公司名	标注实体名	1
标注内容趋势	标注趋势特征	1
标注再平衡进展	标注参考线	1
标注再生水比例	标注占比	1
标注冗余信号	标注关键信息	1
标注军贸额	标注关键信息	1
标注农业模式	标注关键信息	1
标注冠军区间	标注关键信息	1
标注冠军参考	标注关键信息	1
标注冠军模板	标注关键信息	1
标注冠军选手区域	标注关键信息	1
标注冲突/灾害影响	标注关键信息	1
标注冲突事件	标注事件	1
标注冲突名	标注关键信息	2
标注冲突爆发/限价事件	标注事件	1
标注冲突驱动因素	标注驱动因素	1
标注决策建议	标注驱动因素	1
标注决策点	标注关键信息	1
标注决策节点	标注阶段	1
标注决策障碍	标注关键信息	1
标注冷链覆盖率	标注占比	1
标注净出口量	标注关键信息	1
标注净回报倍数	标注效率	1
标注净增减数	标注增长率	1
标注净增长	标注关键信息	3
标注净开店数	标注关键信息	1
标注净影响	标注关键信息	1
标注净流/入	标注关键信息	1
标注净流入/出省	标注关键信息	1
标注净流入总额和占比	标注金额占比	1
标注净流入额	标注关键信息	1
标注净留存率	标注转化率	1
标注净百分比	标注占比	1
标注净迁移排名	标注排名	1
标注净零2050路径	标注阶段	1
标注净零排放路径线	标注阶段	1
标注净零目标线	标注参考线	1
标注净零路径	标注阶段	1
标注净零路径目标线	标注参考线	1
标注准入标准线	标注关键信息	1
标注准备指数	标注评分	1
标注准备评分和投资额	标注评分	1
标注准确率%	标注转化率	1
标注准确率和召回率	标注转化率	1
标注减产协议	标注关键信息	1
标注减产数量	标注数值	1
标注减半、分叉和监管事件	标注事件	1
标注减少比例	标注占比	1
标注减少目标	标注关键信息	1
标注减排差距	标注差异	1
标注减排成果	标注关键信息	1
标注减排承诺	标注关键信息	1
标注减排效果	标注关键信息	1
标注减排杠杆点	标注关键信息	1
标注减排潜力	标注关键信息	1
标注减排目标	标注关键信息	1
标注减排目标差距	标注差异	1
标注减排要求	标注关键信息	1
标注减排贡献	标注关键信息	1
标注减排量	标注关键信息	1
标注减排量和	标注关键信息	1
标注减排量和成本	标注关键信息	1
标注减排项	标注关键信息	1
标注减脂优选区	标注关键信息	1
标注减重量	标注关键信息	1
标注出口量和增速	标注规模增速	1
标注出清过程	标注关键信息	1
标注出租拐点	标注趋势特征	1
标注出行量	标注数值	3
标注出货总量	标注关键信息	1
标注出货量和增速	标注规模增速	1
标注分位名和财富中位数	标注参考线	1
标注分化	标注数值	1
标注分化因子和标记	标注关键信息	1
标注分化标记和成熟度	标注评分	1
标注分子事件和评分	标注事件	1
标注分子亚型和生存差异	标注差异	1
标注分子分型	标注关键信息	1
标注分子分型和临床特征条	标注评分	1
标注分子名	标注关键信息	1
标注分子改变和靶向药	标注关键信息	1
标注分层效果	标注阶段	1
标注分层比例	标注占比	1
标注分布中心	标注关键信息	1
标注分布倍数和	标注效率	1
标注分布偏态	标注关键信息	1
标注分布差异	标注差异	1
标注分布形态	标注关键信息	1
标注分布模式	标注关键信息	1
标注分布特征	标注趋势特征	3
标注分成比例	标注占比	1
标注分担差距	标注差异	1
标注分支	标注数值	1
标注分支基因和拟时间	标注关键信息	1
标注分支概率和调控因子	标注数值	1
标注分支点	标注关键信息	1
标注分支点基因	标注关键信息	1
标注分支距离	标注关键信息	1
标注分散化目标	标注关键信息	1
标注分散机会	标注关键信息	1
标注分数+排名变化	标注排名	2
标注分数+等级	标注评分	1
标注分数差距	标注差异	2
标注分歧	标注差异	2
标注分歧程度	标注差异	1
标注分流建议	标注驱动因素	1
标注分流节点	标注阶段	1
标注分类	标注象限策略	2
标注分类名	标注象限策略	1
标注分群特征	标注关键信息	1
标注分解逻辑	标注关键信息	1
标注分辨率和基因数	标注关键信息	1
标注分辨率和基因检出数	标注关键信息	1
标注分配比例	标注占比	2
标注分配逻辑	标注关键信息	1
标注分钟/班	标注数值	1
标注分钟数	标注数值	4
标注分项金额	标注因素金额	1
标注切换建议	标注驱动因素	1
标注创作者占比	标注占比	1
标注创新分	标注关键信息	1
标注创新周期	标注阶段	1
标注创新指数	标注评分	4
标注创新效率	标注效率	2
标注创新生态	标注关键信息	1
标注创新管道	标注关键信息	1
标注创新类型	标注关键信息	1
标注创新维度分解	标注维度评分	1
标注创新节奏	标注关键信息	1
标注创新要素	标注关键信息	1
标注创新评分和收入潜力	标注评分	1
标注创新评分和融资	标注评分	1
标注创新评分和规模	标注评分	2
标注创新趋势	标注趋势特征	1
标注创纪录事件	标注事件	1
标注创纪录年份	标注关键信息	2
标注利差	标注数值	1
标注利差bp	标注关键信息	1
标注利差倒拐点和汇率突破	标注趋势特征	1
标注利差和波动率	标注关键信息	1
标注利差基点和评级	标注评分	1
标注利润/吨	标注效率	1
标注利润变化	标注增长率	2
标注利润影响	标注效率	1
标注利润影响额	标注驱动因素	1
标注利润流失	标注效率	1
标注利润率	标注效率	2
标注利润率和附加值	标注效率	2
标注利润转移方向箭头	标注效率	1
标注利润额和份额变化	标注金额占比	1
标注利率%	标注占比	1
标注利率决议转折点和立场变化	标注关键信息	1
标注利率变化	标注关键信息	1
标注利率变化影响	标注关键信息	1
标注利率和	标注关键信息	1
标注利率水平	标注关键信息	1
标注利用率	标注关键信息	2
标注利益关联	标注关键信息	1
标注到期峰值和评级分布	标注评分	1
标注到期药物名	标注关键信息	1
标注到期金额和评级分布	标注评分	1
标注到访人次	标注关键信息	1
标注制作委员会模式	标注关键信息	1
标注制度变化	标注关键信息	1
标注刺激时间窗	标注关键信息	1
标注前值和预测区间	标注关键信息	1
标注前年对比	标注关键信息	1
标注前沿曲线	标注关键信息	1
标注剩余年份	标注关键信息	1
标注剩余年限	标注关键信息	1
标注剩余排放	标注数值	1
标注剩余排放差距	标注差异	1
标注剩余误差项	标注关键信息	1
标注剩余预算	标注关键信息	1
标注剪接因子和基因	标注关键信息	1
标注力度	标注数值	1
标注力度等级	标注评分	1
标注力量消长	标注关键信息	1
标注功能上线节点	标注阶段	1
标注功能价值	标注效率	1
标注功能变化和上位性	标注关键信息	1
标注功能域	标注关键信息	1
标注功能标记和转换因子	标注关键信息	1
标注功能模块边界	标注关键信息	1
标注功能类别	标注关键信息	1
标注功能聚类	标注关键信息	1
标注功能评分和结构特征	标注评分	1
标注加固优先级	标注驱动因素	1
标注加息幅度	标注事件	1
标注加息幅度和时间	标注事件	1
标注加速倍数	标注效率	1
标注加速审批政策	标注事件	1
标注加速情景	标注关键信息	1
标注加速效果	标注关键信息	1
标注加速比	标注关键信息	2
标注加速融化	标注关键信息	1
标注加速通道	标注关键信息	1
标注动态范围和	标注关键信息	1
标注动线	标注数值	1
标注劳动力成本和基础设施	标注关键信息	1
标注勇士王朝等事件	标注事件	1
标注募资趋势	标注趋势特征	1
标注募资额和同比	标注增长率	1
标注募资额和项目数	标注因素金额	1
标注包容差距	标注差异	1
标注包容性增长区	标注关键信息	1
标注化合物数量和命中数	标注数值	1
标注化学品趋势	标注趋势特征	1
标注北方排名	标注排名	1
标注北约2%线	标注占比	1
标注匹配度	标注关键信息	1
标注匹配率	标注关键信息	1
标注匹配证据和响应率	标注关键信息	1
标注匹配证据等级	标注评分	1
